Authors_Name;Affiliation;url_photos
Abdelaziz Bensrhair;;https://scholar.google.com/citations?view_op=medium_photo&user=XbKpvpUAAAAJ
Abdelaziz Marzak;;
Abdelfettah Feliachi;;
Abdelghani Bellaachia;;
Abdelhadi Fennan;;
Abdelhamid Boudane;;
Abdelheq Et-tahir Guettala;@univ-tours.fr;https://scholar.google.com/citations?view_op=medium_photo&user=DUPOALQAAAAJ
Abdeljalil Elouardighi;;
Abdellah Sabry;@usmba.ac.ma;https://scholar.google.com/citations?view_op=medium_photo&user=bPJDulYAAAAJ
Abdelmajid Ben Hamadou;@isimsf.rnu.tn;https://scholar.google.com/citations?view_op=medium_photo&user=R4sHjt8AAAAJ
Abdelmalek Amine;@uop.edu.jo;https://scholar.google.com/citations?view_op=medium_photo&user=phqqn9EAAAAJ
Abdelmalek Toumi;@ensta-bretagne.fr;https://scholar.google.com/citations?view_op=medium_photo&user=mez2Ro4AAAAJ
Abdenour Mokrane;;
Abder Elmoatz;;
Abderrahmane Maaradji;@qut.edu.au;https://scholar.google.com/citations?view_op=medium_photo&user=a8dDOg4AAAAJ
Abdessamad Imine;@loria.fr;https://scholar.google.com/citations?view_op=medium_photo&user=J4k_GXUAAAAJ
Abdessamad Outerqiss;;
Abdoul-Djawadou Salaou;;
Abdourahamane Baldé;;
Abdulhafiz Alkhouli;;
Abdullah Almaksour;;https://scholar.google.com/citations?view_op=medium_photo&user=y_alRWUAAAAJ
Abir Saïd;;https://scholar.google.com/citations?view_op=medium_photo&user=BmCYRa4AAAAJ
Adel Lablack;;https://scholar.google.com/citations?view_op=medium_photo&user=7UPdD6EAAAAJ
Adel M. Alimi;@ieee.org;https://scholar.google.com/citations?view_op=medium_photo&user=ULlQ_vsAAAAJ
Adeline Nazarenko;;
Adina Magda Florea;@cs.pub.ro;https://scholar.google.com/citations?view_op=medium_photo&user=b02NJb4AAAAJ
Adnan El Moussawi;@uobasrah.edu.iq;https://scholar.google.com/citations?view_op=medium_photo&user=mFDmbV4AAAAJ
Adrian Tanasescu;;
Adriana Prado;@itdurango.edu.mx;https://scholar.google.com/citations?view_op=medium_photo&user=Q322JRMAAAAJ
Adrien Dufraux;;
Adrien Gressin;@ign.fr;https://scholar.google.com/citations?view_op=medium_photo&user=_0VockgAAAAJ
Adrien Guilhot-Gaudeffroy;;
Adrien Guille;@univ-lyon2.fr;https://scholar.google.com/citations?view_op=medium_photo&user=mM_oO18AAAAJ
Adrien Martins;@noc.ac.uk;https://scholar.google.com/citations?view_op=medium_photo&user=mrWQ4D0AAAAJ
Adrien Schmidt;;https://scholar.google.com/citations?view_op=medium_photo&user=uZbnFb8AAAAJ
Afef Zenned;;
Aghiles Salah;@parisdescartes.fr;https://scholar.google.com/citations?view_op=medium_photo&user=l0KFlkYAAAAJ
Agnès Braud;;
Ahlame Douzal-Chouakria;@imag.fr;https://scholar.google.com/citations?view_op=medium_photo&user=gV-JU9EAAAAJ
Ahlem Othmani;;
Ahmed Amrani;@irt-systemx.fr;https://scholar.google.com/citations?view_op=medium_photo&user=Cb9-gWgAAAAJ
Ahmed Belaidi;;
Ahmed Bounekkar;;
Ahmed Cheriat;;
Aichetou Bouchareb;;
Aimene Belfodil;@insa-lyon.fr;https://scholar.google.com/citations?view_op=medium_photo&user=FRQgyMAAAAAJ
Aladine Chetouani;;https://scholar.google.com/citations?view_op=medium_photo&user=goUbn88AAAAJ
Alain Berger;;
Alain Boucher;@ifi.edu.vn;https://scholar.google.com/citations?view_op=medium_photo&user=bqmDokEAAAAJ
Alain Cagnati;;
Alain Casali;@lif.univ-mrs.fr;https://scholar.google.com/citations?view_op=medium_photo&user=une79RkAAAAJ
Alain Dessertaine;;
Alain Guénoche;;
Alain Gély;@univ-lorraine.fr;https://scholar.google.com/citations?view_op=medium_photo&user=iknmAToAAAAJ
Alain Lelu;@univ-fcomte.fr;https://scholar.google.com/citations?view_op=medium_photo&user=Ytu8vQMAAAAJ
Alain Mille;;https://scholar.google.com/citations?view_op=medium_photo&user=D6fR-nYAAAAJ
Alain Morineau;;
Alain Shakour;;
Alain Simac-Lejeune;@univ-savoie.fr;https://scholar.google.com/citations?view_op=medium_photo&user=30m0d6oAAAAJ
Alain Zasadzinski;;
Alain-Jérôme Fougères;@ecam-rennes.fr;https://scholar.google.com/citations?view_op=medium_photo&user=JugJ918AAAAJ
Alain-Pierre Manine;;
Alban Lepailleur;;
Alban Mancheron;;
Alban Meffre;;
Albert Bifet;@telecom-paristech.fr;https://scholar.google.com/citations?view_op=medium_photo&user=UYvAL8EAAAAJ
Albert Royer;;
Aldo Napoli;@unina.it;https://scholar.google.com/citations?view_op=medium_photo&user=lUZOOi4AAAAJ
Alexandra Degeest;;
Alexandre Aussem;;https://scholar.google.com/citations?view_op=medium_photo&user=eRIMRJ4AAAAJ
Alexandre Blansché;@univ-lorraine.fr;https://scholar.google.com/citations?view_op=medium_photo&user=M4pjj3oAAAAJ
Alexandre Bouchacourt;;
Alexandre Cotarmanac'h;;
Alexandre Labadié;;
Alexandre Lefevre;@quantbot.com;https://scholar.google.com/citations?view_op=medium_photo&user=M-P7-I0AAAAJ
Alexandre Passant;@passant.org;https://scholar.google.com/citations?view_op=medium_photo&user=1GYUnQoAAAAJ
Alexandre Pauchet;@insa-rouen.fr;https://scholar.google.com/citations?view_op=medium_photo&user=FNo3f1QAAAAJ
Alexandre Termier;@irisa.fr;https://scholar.google.com/citations?view_op=medium_photo&user=W-zTfAkAAAAJ
Alexandre Vautier;;
Alexandrina Rogozan;;
Alexis Bondu;@orange.com;https://scholar.google.com/citations?view_op=medium_photo&user=zglmKHEAAAAJ
Alexis Gabadinho;;
Ali Ben Mrad;;https://scholar.google.com/citations?view_op=medium_photo&user=kQirg8gAAAAJ
Ali Jaffal;@univ-paris1.fr;https://scholar.google.com/citations?view_op=medium_photo&user=yJMVKpcAAAAJ
Ali Khenchaf;@ensta-bretagne.fr;https://scholar.google.com/citations?view_op=medium_photo&user=T9VgRasAAAAJ
Alice Marascu;;
Alina Dia Miron;;
Aline Deruyver;;
Aliou Boly;;
Allel HadjAli;@ensma.fr;https://scholar.google.com/citations?view_op=medium_photo&user=a4OCk0cAAAAJ
Alpha Diallo;@ucad.edu.sn;https://scholar.google.com/citations?view_op=medium_photo&user=m2zwJ-UAAAAJ
Alzennyr Da Silva;;
Amadou Fall Dia;;
Amandine Duffoux;;
Amar-Djalil Mezaour;;
Amedeo Napoli;@loria.fr;https://scholar.google.com/citations?view_op=medium_photo&user=OzoUv3AAAAAJ
Amel Borgi;;
Amel Boustil;;
Amel Bouzeghoub;;
Amine Abdaoui;@esi.dz;https://scholar.google.com/citations?view_op=medium_photo&user=BTrGJnUAAAAJ
Amine Chaibi;;
Amine El Haddadi;;
Amine Louati;@telecom-em.eu;https://scholar.google.com/citations?view_op=medium_photo&user=r8wGqwgAAAAJ
Amjad Abou Assali;;https://scholar.google.com/citations?view_op=medium_photo&user=_8lI33IAAAAJ
Ammar Mechouche;;
Amyn Bennamane;;
Amélie Cordier;@liris.cnrs.fr;https://scholar.google.com/citations?view_op=medium_photo&user=4MuC3zgAAAAJ
Anand Mahajan;;https://scholar.google.com/citations?view_op=medium_photo&user=zO88MGYAAAAJ
Anass El Haddadi;;
Anastasiya Yurchyshyna;;
Andres Jacome;@itssat.edu.mx;https://scholar.google.com/citations?view_op=medium_photo&user=EXKqGa8AAAAJ
André Happe;;
André Hardy;;
André Péninou;@irit.fr;https://scholar.google.com/citations?view_op=medium_photo&user=TyTXtVkAAAAJ
Andrés Troya-Galvis;@unistra.fr;https://scholar.google.com/citations?view_op=medium_photo&user=O-eERWYAAAAJ
Anicet Kouomou Choupo;;
Anna Kolomoyskaya;;
Anna Sansone;@isof.cnr.it;https://scholar.google.com/citations?view_op=medium_photo&user=A5ZzBGoAAAAJ
Annabelle Mercier;@lcis.grenoble-inp.fr;https://scholar.google.com/citations?view_op=medium_photo&user=9Uj99n0AAAAJ
Anne Boyer;;
Anne Laurent;@lirmm.fr;https://scholar.google.com/citations?view_op=medium_photo&user=TDZpZocAAAAJ
Anne Lavallard;;
Anne Poupon;@tours.inra.fr;https://scholar.google.com/citations?view_op=medium_photo&user=ogbBwcQAAAAJ
Anne Puissant;;
Anne Tchounikine;;
Anne Toulet;@cirad.fr;https://scholar.google.com/citations?view_op=medium_photo&user=tmokkmoAAAAJ
Anne-Elisabeth Laques;@ird.fr;https://scholar.google.com/citations?view_op=medium_photo&user=or9YJcEAAAAJ
Anne-Marie Vercoustre;;
Anne-Sophie Libert;@unamur.be;https://scholar.google.com/citations?view_op=medium_photo&user=UF3hvJ8AAAAJ
Annie Fiandrino;;
Annie Foret;;
Annie Morin;@irisa.fr;https://scholar.google.com/citations?view_op=medium_photo&user=jHqk8nUAAAAJ
Annig Le Parc - Lacayrelle;;
Anouar Benhassena;;
Ansaf Salleb-Aouissi;@columbia.edu;https://scholar.google.com/citations?view_op=medium_photo&user=77kOUvYAAAAJ
Anthony Barré;@jcdecaux.com;https://scholar.google.com/citations?view_op=medium_photo&user=sAM02rcAAAAJ
Anthony Perez;@pic.es;https://scholar.google.com/citations?view_op=medium_photo&user=nsI2sfUAAAAJ
Antoine Collin;@ephe.psl.eu;https://scholar.google.com/citations?view_op=medium_photo&user=ud7STy5KLM4C
Antoine Cornuéjols;@agroparistech.fr;https://scholar.google.com/citations?view_op=medium_photo&user=98QuK20AAAAJ
Antoine Lambert;@inria.fr;https://scholar.google.com/citations?view_op=medium_photo&user=wRrEbaAAAAAJ
Antoine Paglia;;
Antoine Zimmermann;@emse.fr;https://scholar.google.com/citations?view_op=medium_photo&user=Miw4DgIAAAAJ
Antoni Lozano;;https://scholar.google.com/citations?view_op=medium_photo&user=SBHp9CwAAAAJ
Antonio Irpino;@unicampania.it;https://scholar.google.com/citations?view_op=medium_photo&user=5NlbK9EAAAAJ
Antonio Penta;@accenture.com;https://scholar.google.com/citations?view_op=medium_photo&user=gIGmQLUAAAAJ
Aris Ouksel;;
Armelle Brun;@loria.fr;https://scholar.google.com/citations?view_op=medium_photo&user=QhjK8KoAAAAJ
Arnaud Ansiaux;;
Arnaud Giacometti;@univ-tours.fr;https://scholar.google.com/citations?view_op=medium_photo&user=uNm5IKsAAAAJ
Arnaud Larrère;;
Arnaud Martin;@gwu.edu;https://scholar.google.com/citations?view_op=medium_photo&user=dX7KxnYAAAAJ
Arnaud Sallaberry;@lirmm.fr;https://scholar.google.com/citations?view_op=medium_photo&user=JqUZX-UAAAAJ
Arnaud Soulet;@univ-tours.fr;https://scholar.google.com/citations?view_op=medium_photo&user=KYVKd5cAAAAJ
Asma Ben Achour;;
Asma Ben Zakour;;
Asma Bouhafs Hafsia;;
Asma Gharbi;;
Asma Zoghlami;;
Atef Hamouda;;
Athanasiadis Marios - Lazaros;@ics.forth.gr;https://scholar.google.com/citations?view_op=medium_photo&user=_TH40eUAAAAJ
Athmane Hamel;;
Aude Beauger;;
Audrey Laplante;@umontreal.ca;https://scholar.google.com/citations?view_op=medium_photo&user=FsEL2EkAAAAJ
Augusta Mela;;
Aurélie Bertaux;@u-bourgogne.fr;https://scholar.google.com/citations?view_op=medium_photo&user=virzKdYAAAAJ
Aurélie Névéol;@limsi.fr;https://scholar.google.com/citations?view_op=medium_photo&user=8uAT7BgAAAAJ
Aurélien Bossard;;
Aydano Machado;;
Aymen Elkhlifi;;https://scholar.google.com/citations?view_op=medium_photo&user=5oSdEeEAAAAJ
Aymen Sellaouti;;
Aymeric Le Dorze;;
Ayoub Karine;@isen-ouest.yncrea.fr;https://scholar.google.com/citations?view_op=medium_photo&user=acAw9KAAAAAJ
Azeddine Beghdadi;@univ-paris13.fr;https://scholar.google.com/citations?view_op=medium_photo&user=D5CISpEAAAAJ
Aïcha El Golli;;
Ba-Hung Ngo;@cit.ctu.edu.vn;https://scholar.google.com/citations?view_op=medium_photo&user=_Aofr2IAAAAJ
Badre Belabbess;@univ-sba.dz;https://scholar.google.com/citations?view_op=medium_photo&user=Yc3UAf4AAAAJ
Baghdad Atmani;;
Baptiste Jeudy;;
Baptiste de La Robertie;;
Barbara Poulain;;
Bart Goethals;@uantwerp.be;https://scholar.google.com/citations?view_op=medium_photo&user=Zd1tXp8AAAAJ
Bashar Saleh;@najah.edu;https://scholar.google.com/citations?view_op=medium_photo&user=ivAMzzcAAAAJ
Bassem Makni;@ibm.com;https://scholar.google.com/citations?view_op=medium_photo&user=4hdYlYUAAAAJ
Baya Naouel Barigou;;
Belhaj Rhouma Sourour;;
Beniamino Murgante;@unibas.it;https://scholar.google.com/citations?view_op=medium_photo&user=YsqyJBcAAAAJ
Benjamin Billet;;
Benjamin Costé;;
Benjamin Duthil;@univ-lr.fr;https://scholar.google.com/citations?view_op=medium_photo&user=DFjMRhEAAAAJ
Benjamin Gras;@intel.com;https://scholar.google.com/citations?view_op=medium_photo&user=t2-XbM4AAAAJ
Benjamin Négrevergne;;
Benjamin Renoust;@ids.osaka-u.ac.jp;https://scholar.google.com/citations?view_op=medium_photo&user=I7DPbEYAAAAJ
Benjamin Rothan;;
Benoit Kiene;;
Benoît Favre;@lis-lab.fr;https://scholar.google.com/citations?view_op=medium_photo&user=4-I6lt8AAAAJ
